age,housing,loan,contact,balance,job,month,campaign,pdays,poutcome,open_deposit
26,no,no,cellular,1099,admin.,jan,2,225,other,yes
26,yes,no,cellular,3730,admin.,mar,1,98,other,yes
26,yes,no,cellular,141,admin.,may,4,349,other,no
28,no,no,cellular,330,admin.,dec,1,188,other,yes
29,yes,no,unknown,1070,admin.,may,1,357,other,no
30,yes,no,cellular,127,admin.,may,6,368,other,no
30,no,no,cellular,2568,admin.,sep,1,100,other,yes
31,yes,no,cellular,81,admin.,apr,2,165,other,no
31,yes,no,cellular,-422,admin.,may,2,329,other,no
31,yes,no,cellular,368,admin.,may,5,361,other,no
32,yes,no,cellular,56,admin.,feb,1,258,other,no
32,yes,yes,cellular,51,admin.,jan,1,87,other,no
32,no,no,telephone,291,admin.,jan,6,275,other,no
32,no,no,cellular,-32,admin.,jan,1,185,other,no
32,no,no,cellular,995,admin.,sep,1,99,other,yes
34,yes,no,cellular,1352,admin.,apr,1,334,other,no
34,yes,no,cellular,151,admin.,may,1,370,other,no
34,yes,no,telephone,124,admin.,may,4,366,other,no
35,no,no,cellular,321,admin.,jul,1,412,other,yes
35,yes,no,cellular,1286,admin.,may,3,337,other,no
36,yes,no,cellular,10041,admin.,nov,2,184,other,yes
37,no,no,cellular,3221,admin.,jun,2,376,other,yes
37,yes,no,cellular,912,admin.,may,3,328,other,no
37,yes,no,cellular,529,admin.,sep,1,149,other,yes
40,yes,no,cellular,355,admin.,apr,2,138,other,no
41,yes,no,cellular,1076,admin.,jun,2,391,other,yes
42,yes,yes,telephone,-247,admin.,oct,1,166,other,yes
43,yes,no,cellular,1707,admin.,sep,3,504,other,yes
44,no,no,cellular,10905,admin.,aug,2,271,other,yes
44,yes,no,cellular,497,admin.,feb,3,270,other,no
44,yes,yes,cellular,397,admin.,feb,1,257,other,no
45,yes,no,cellular,2353,admin.,mar,1,107,other,yes
45,yes,yes,cellular,-106,admin.,may,3,288,other,no
46,yes,no,cellular,469,admin.,feb,1,264,other,no
46,yes,no,cellular,-522,admin.,mar,3,239,other,yes
47,no,no,cellular,3676,admin.,jul,2,342,other,yes
47,yes,no,telephone,3957,admin.,may,3,334,other,no
47,no,no,cellular,0,admin.,nov,1,190,other,no
47,yes,no,cellular,1693,admin.,oct,2,92,other,yes
48,no,no,cellular,1180,admin.,jan,1,238,other,no
50,yes,no,cellular,10250,admin.,dec,3,385,other,yes
51,no,no,cellular,3025,admin.,may,1,352,other,yes
52,yes,no,telephone,872,admin.,may,6,335,other,no
54,no,no,cellular,1693,admin.,apr,1,87,other,yes
56,yes,yes,cellular,1554,admin.,feb,6,190,other,no
57,yes,no,cellular,403,admin.,may,1,340,other,no
58,yes,no,cellular,4348,admin.,jun,4,141,other,yes
60,no,no,cellular,473,admin.,feb,2,8,other,yes
23,yes,no,cellular,897,admin.,feb,2,280,failure,yes
24,yes,no,cellular,299,admin.,may,1,321,failure,no
25,yes,no,cellular,760,admin.,may,3,89,failure,yes
25,yes,no,cellular,1141,admin.,may,1,347,failure,no
25,yes,no,cellular,507,admin.,may,1,367,failure,no
25,no,no,cellular,1185,admin.,oct,1,114,failure,yes
26,no,no,cellular,96,admin.,aug,1,70,failure,yes
26,no,no,cellular,1595,admin.,jun,1,105,failure,yes
26,no,no,cellular,96,admin.,may,1,345,failure,yes
